Q,Region,CBA,CBT
2003-02-15,cuyo,1227.5482336429511,3185.2961808902214
2003-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2003-02-15,noreste,1232.3134666835895,2812.3086586179656
2003-02-15,noroeste,1197.6260682116501,2709.2776619254287
2003-02-15,pampeana,1366.315052509059,3329.35847026032
2003-02-15,patagonia,1422.6012923988649,3936.0183438954864
2003-05-15,cuyo,1227.5482336429511,3185.2961808902214
2003-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2003-05-15,noreste,1232.3134666835895,2812.3086586179656
2003-05-15,noroeste,1197.6260682116501,2709.2776619254287
2003-05-15,pampeana,1366.315052509059,3329.35847026032
2003-05-15,patagonia,1422.6012923988649,3936.0183438954864
2003-08-15,cuyo,1227.5482336429511,3185.2961808902214
2003-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2003-08-15,noreste,1232.3134666835895,2812.3086586179656
2003-08-15,noroeste,1197.6260682116501,2709.2776619254287
2003-08-15,pampeana,1366.315052509059,3329.35847026032
2003-08-15,patagonia,1422.6012923988649,3936.0183438954864
2003-11-15,cuyo,1227.5482336429511,3185.2961808902214
2003-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2003-11-15,noreste,1232.3134666835895,2812.3086586179656
2003-11-15,noroeste,1197.6260682116501,2709.2776619254287
2003-11-15,pampeana,1366.315052509059,3329.35847026032
2003-11-15,patagonia,1422.6012923988649,3936.0183438954864
2004-02-15,cuyo,1227.5482336429511,3185.2961808902214
2004-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2004-02-15,noreste,1232.3134666835895,2812.3086586179656
2004-02-15,noroeste,1197.6260682116501,2709.2776619254287
2004-02-15,pampeana,1366.315052509059,3329.35847026032
2004-02-15,patagonia,1422.6012923988649,3936.0183438954864
2004-05-15,cuyo,1227.5482336429511,3185.2961808902214
2004-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2004-05-15,noreste,1232.3134666835895,2812.3086586179656
2004-05-15,noroeste,1197.6260682116501,2709.2776619254287
2004-05-15,pampeana,1366.315052509059,3329.35847026032
2004-05-15,patagonia,1422.6012923988649,3936.0183438954864
2004-08-15,cuyo,1227.5482336429511,3185.2961808902214
2004-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2004-08-15,noreste,1232.3134666835895,2812.3086586179656
2004-08-15,noroeste,1197.6260682116501,2709.2776619254287
2004-08-15,pampeana,1366.315052509059,3329.35847026032
2004-08-15,patagonia,1422.6012923988649,3936.0183438954864
2004-11-15,cuyo,1227.5482336429511,3185.2961808902214
2004-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2004-11-15,noreste,1232.3134666835895,2812.3086586179656
2004-11-15,noroeste,1197.6260682116501,2709.2776619254287
2004-11-15,pampeana,1366.315052509059,3329.35847026032
2004-11-15,patagonia,1422.6012923988649,3936.0183438954864
2005-02-15,cuyo,1227.5482336429511,3185.2961808902214
2005-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2005-02-15,noreste,1232.3134666835895,2812.3086586179656
2005-02-15,noroeste,1197.6260682116501,2709.2776619254287
2005-02-15,pampeana,1366.315052509059,3329.35847026032
2005-02-15,patagonia,1422.6012923988649,3936.0183438954864
2005-05-15,cuyo,1227.5482336429511,3185.2961808902214
2005-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2005-05-15,noreste,1232.3134666835895,2812.3086586179656
2005-05-15,noroeste,1197.6260682116501,2709.2776619254287
2005-05-15,pampeana,1366.315052509059,3329.35847026032
2005-05-15,patagonia,1422.6012923988649,3936.0183438954864
2005-08-15,cuyo,1227.5482336429511,3185.2961808902214
2005-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2005-08-15,noreste,1232.3134666835895,2812.3086586179656
2005-08-15,noroeste,1197.6260682116501,2709.2776619254287
2005-08-15,pampeana,1366.315052509059,3329.35847026032
2005-08-15,patagonia,1422.6012923988649,3936.0183438954864
2005-11-15,cuyo,1227.5482336429511,3185.2961808902214
2005-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2005-11-15,noreste,1232.3134666835895,2812.3086586179656
2005-11-15,noroeste,1197.6260682116501,2709.2776619254287
2005-11-15,pampeana,1366.315052509059,3329.35847026032
2005-11-15,patagonia,1422.6012923988649,3936.0183438954864
2006-02-15,cuyo,1227.5482336429511,3185.2961808902214
2006-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2006-02-15,noreste,1232.3134666835895,2812.3086586179656
2006-02-15,noroeste,1197.6260682116501,2709.2776619254287
2006-02-15,pampeana,1366.315052509059,3329.35847026032
2006-02-15,patagonia,1422.6012923988649,3936.0183438954864
2006-05-15,cuyo,1227.5482336429511,3185.2961808902214
2006-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2006-05-15,noreste,1232.3134666835895,2812.3086586179656
2006-05-15,noroeste,1197.6260682116501,2709.2776619254287
2006-05-15,pampeana,1366.315052509059,3329.35847026032
2006-05-15,patagonia,1422.6012923988649,3936.0183438954864
2006-08-15,cuyo,1227.5482336429511,3185.2961808902214
