PROV,NOMPROV,DPTO,NOMDPTO,Region
2,Ciudad Autónoma de Buenos Aires,2001,Comuna 01,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2002,Comuna 02,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2003,Comuna 03,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2004,Comuna 04,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2005,Comuna 05,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2006,Comuna 06,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2007,Comuna 07,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2008,Comuna 08,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2009,Comuna 09,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2010,Comuna 10,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2011,Comuna 11,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2012,Comuna 12,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2013,Comuna 13,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2014,Comuna 14,gran_buenos_aires
2,Ciudad Autónoma de Buenos Aires,2015,Comuna 15,gran_buenos_aires
6,Buenos Aires,6028,Almirante Brown,gran_buenos_aires
6,Buenos Aires,6035,Avellaneda,gran_buenos_aires
6,Buenos Aires,6091,Berazategui,gran_buenos_aires
6,Buenos Aires,6260,Esteban Echeverría,gran_buenos_aires
6,Buenos Aires,6270,Ezeiza,gran_buenos_aires
6,Buenos Aires,6274,Florencio Varela,gran_buenos_aires
6,Buenos Aires,6371,General San Martín,gran_buenos_aires
6,Buenos Aires,6408,Hurlingham,gran_buenos_aires
6,Buenos Aires,6410,Ituzaingó,gran_buenos_aires
6,Buenos Aires,6412,José C. Paz,gran_buenos_aires
6,Buenos Aires,6427,La Matanza,gran_buenos_aires
6,Buenos Aires,6434,Lanús,gran_buenos_aires
6,Buenos Aires,6490,Lomas de Zamora,gran_buenos_aires
6,Buenos Aires,6515,Malvinas Argentinas,gran_buenos_aires
6,Buenos Aires,6539,Merlo,gran_buenos_aires
6,Buenos Aires,6560,Moreno,gran_buenos_aires
6,Buenos Aires,6568,Morón,gran_buenos_aires
6,Buenos Aires,6658,Quilmes,gran_buenos_aires
6,Buenos Aires,6749,San Fernando,gran_buenos_aires
6,Buenos Aires,6756,San Isidro,gran_buenos_aires
6,Buenos Aires,6760,San Miguel,gran_buenos_aires
6,Buenos Aires,6805,Tigre,gran_buenos_aires
6,Buenos Aires,6840,Tres de Febrero,gran_buenos_aires
6,Buenos Aires,6861,Vicente López,gran_buenos_aires
6,Buenos Aires,6007,Adolfo Alsina,pampeana
6,Buenos Aires,6014,Adolfo Gonzáles Chaves,pampeana
6,Buenos Aires,6021,Alberti,pampeana
6,Buenos Aires,6042,Ayacucho,pampeana
6,Buenos Aires,6049,Azul,pampeana
6,Buenos Aires,6056,Bahía Blanca,pampeana
6,Buenos Aires,6063,Balcarce,pampeana
6,Buenos Aires,6070,Baradero,pampeana
6,Buenos Aires,6077,Bartolomé Mitre,pampeana
6,Buenos Aires,6084,Benito Juárez,pampeana
6,Buenos Aires,6098,Berisso,pampeana
6,Buenos Aires,6105,Bolívar,pampeana
6,Buenos Aires,6112,Bragado,pampeana
6,Buenos Aires,6119,Brandsen,pampeana
6,Buenos Aires,6126,Campana,pampeana
6,Buenos Aires,6134,Cañuelas,pampeana
6,Buenos Aires,6140,Capitán Sarmiento,pampeana
6,Buenos Aires,6147,Carlos Casares,pampeana
6,Buenos Aires,6154,Carlos Tejedor,pampeana
6,Buenos Aires,6161,Carmen de Areco,pampeana
6,Buenos Aires,6168,Castelli,pampeana
6,Buenos Aires,6175,Colón,pampeana
6,Buenos Aires,6182,Coronel de Marina L. Rosales,pampeana
6,Buenos Aires,6189,Coronel Dorrego,pampeana
6,Buenos Aires,6196,Coronel Pringles,pampeana
6,Buenos Aires,6203,Coronel Suárez,pampeana
6,Buenos Aires,6210,Chacabuco,pampeana
6,Buenos Aires,6217,Chascomús,pampeana
6,Buenos Aires,6224,Chivilcoy,pampeana
6,Buenos Aires,6231,Daireaux,pampeana
6,Buenos Aires,6238,Dolores,pampeana
6,Buenos Aires,6245,Ensenada,pampeana
6,Buenos Aires,6252,Escobar,pampeana
6,Buenos Aires,6266,Exaltación de la Cruz,pampeana
6,Buenos Aires,6277,Florentino Ameghino,pampeana
6,Buenos Aires,6280,General Alvarado,pampeana
6,Buenos Aires,6287,General Alvear,pampeana
6,Buenos Aires,6294,General Arenales,pampeana
6,Buenos Aires,6301,General Belgrano,pampeana
6,Buenos Aires,6308,General Guido,pampeana
6,Buenos Aires,6315,General Juan Madariaga,pampeana
6,Buenos Aires,6322,General La Madrid,pampeana
6,Buenos Aires,6329,General Las Heras,pampeana
6,Buenos Aires,6336,General Lavalle,pampeana
6,Buenos Aires,6343,General Paz,pampeana
6,Buenos Aires,6351,General Pinto,pampeana
6,Buenos Aires,6357,General Pueyrredón,pampeana
