NOMAGLO,Jubilacion,Laborables,Otros No Lab.,Sin Ingresos,Subsidio
Bahia Blanca,39925,135750,6675,110325,1025
CABA,460900,1548700,47525,807600,3175
Catamarca,14800,81500,2700,74250,2250
Cdro Rivadavia,13400,75375,700,69725,800
Concordia,16300,62200,2025,66975,3000
Cordoba,170375,679950,36025,550750,10200
Corrientes,28500,149325,7700,149975,4500
Formosa,17525,91225,4375,103475,3700
Fuera de aglom.,1782250,5870875,205900,6617075,283200
GBA,1151750,4995400,121600,4276125,126000
Jujuy,26675,134325,4675,140000,4725
La Plata,94800,383725,18125,288250,4500
La Rioja,9725,81925,5025,75450,2775
Mar del Plata,94875,276700,8475,222100,3350
Mendoza,116175,413675,10750,383550,5450
Neuquen,28125,163850,5550,147050,1725
Parana,30875,131050,3225,105450,2600
Posadas,26100,128000,5800,130750,4350
Rawson-Trelew,12800,56750,1375,46525,250
Resistencia,32600,166850,7550,167875,7725
Rio Cuarto,21875,68975,3250,54575,1225
Rio Gallegos,7500,48525,925,49950,0
Rosario,157950,565825,22550,425800,14075
Salta,51400,236075,9025,247425,9075
San Juan,44475,170075,5425,178225,4700
San Luis,18200,77850,3900,82275,1675
San Nicolas,23125,77825,1500,75150,1300
Santa Fe,56200,213375,8375,193625,5925
Santa Rosa,13625,51975,1100,45200,400
Sgo del Estero,32000,154375,5800,162175,6150
Tucuman,88075,339350,12550,357525,13800
Ushuaia-Rio Grande,4500,54675,1000,42225,0
Viedma-Patagones,7800,31900,1000,26500,200
