observable,sintetico,base,PROV,timestamp,RADIO_REF_ID,DPTO,valor,frac
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5910,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5911,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5912,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5913,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5914,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5915,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5916,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5917,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5918,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5919,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5920,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5921,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5922,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5923,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5924,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5925,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5926,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5927,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5928,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5929,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5930,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5931,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5932,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5933,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5934,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5935,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5936,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5937,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5938,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5939,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5940,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5941,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5942,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5943,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5944,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5945,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5946,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5947,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5948,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5949,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5950,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5951,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5952,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5953,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5954,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5955,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5956,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5957,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5958,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5959,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5960,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5961,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5962,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5963,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5964,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5965,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5966,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5967,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5968,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5969,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5970,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5971,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5972,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5973,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5974,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5975,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5976,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5977,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5978,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5979,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5980,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5981,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5982,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5983,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5984,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5985,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5986,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5987,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5988,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5989,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5990,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5991,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5992,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5993,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5994,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5995,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5996,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5997,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5998,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,5999,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6000,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6001,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6002,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6003,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6004,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6005,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6006,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6007,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6008,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6009,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6010,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6011,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6012,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6013,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6014,6408,1.0,0.2
