observable,sintetico,base,Q,timestamp,AGLOMERADO,valor,frac
CBA,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,116060.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,0,1.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:35:59.580334,0,106650.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,3,1.0,0.02
CBT,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,276950.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,5,1.0,0.02
CBT,median,H,2003-08-15,2023-10-29 01:35:59.580334,0,254490.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,7,1.0,0.02
CB_EQUIV,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,2.688,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,9,1.0,0.02
CB_EQUIV,median,H,2003-08-15,2023-10-29 01:35:59.580334,0,2.46,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,12,1.0,0.02
Indigencia,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,0.2415,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,14,1.0,0.02
Indigencia,sum,H,2003-08-15,2023-10-29 01:35:59.580334,0,982150.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,17,1.0,0.02
P47T_hogar,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,295220.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,19,1.0,0.02
P47T_hogar,median,H,2003-08-15,2023-10-29 01:35:59.580334,0,224410.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,22,1.0,0.02
P47T_hogar,q10,H,2003-08-15,2023-10-29 01:35:59.580334,0,40810.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,25,1.0,0.02
P47T_hogar,q25,H,2003-08-15,2023-10-29 01:35:59.580334,0,95710.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,27,1.0,0.02
P47T_hogar,q75,H,2003-08-15,2023-10-29 01:35:59.580334,0,393490.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,30,1.0,0.02
P47T_hogar,q90,H,2003-08-15,2023-10-29 01:35:59.580334,0,600920.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,32,1.0,0.02
Pobreza,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,0.5188,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,34,1.0,0.02
Pobreza,sum,H,2003-08-15,2023-10-29 01:35:59.580334,0,2109600.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,38,1.0,0.02
Total,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,1.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:16.579203,93,1.0,0.02
Total,sum,H,2003-08-15,2023-10-29 01:35:59.580334,0,4066350.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,2,290750.0,0.02
gap_indigencia,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,179160.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,4,435050.0,0.02
gap_indigencia,median,H,2003-08-15,2023-10-29 01:35:59.580334,0,114800.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,6,90400.0,0.02
gap_pobreza,mean,H,2003-08-15,2023-10-29 01:35:59.580334,0,18270.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,8,124000.0,0.02
gap_pobreza,median,H,2003-08-15,2023-10-29 01:35:59.580334,0,-9430.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,10,312550.0,0.02
CBA,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,116060.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,13,498700.0,0.02
CBA,median,H,2003-11-15,2023-10-29 01:37:03.618770,0,106650.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,15,67450.0,0.02
CBT,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,276950.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,18,106700.0,0.02
CBT,median,H,2003-11-15,2023-10-29 01:37:03.618770,0,254490.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,20,37600.0,0.02
CB_EQUIV,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,2.688,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,23,171250.0,0.02
CB_EQUIV,median,H,2003-11-15,2023-10-29 01:37:03.618770,0,2.46,0.02
