observable,sintetico,base,Q,timestamp,AGLOSI,Region,valor,frac
CBA,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,116330.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:15:05.251773,False,cuyo,1.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,107000.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:15:05.251773,False,noreste,1.0,0.02
CBT,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,296400.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:15:05.251773,False,pampeana,1.0,0.02
CBT,median,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,272650.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:15:05.251773,True,cuyo,1.0,0.02
CB_EQUIV,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,2.87,0.02
Total,mean,H,2023-02-15,2023-10-29 13:15:05.251773,True,noreste,1.0,0.02
CB_EQUIV,median,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,2.64,0.02
Total,mean,H,2023-02-15,2023-10-29 13:15:05.251773,True,pampeana,1.0,0.02
Indigencia,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,0.2359,0.02
Total,sum,H,2023-02-15,2023-10-29 13:15:05.251773,False,cuyo,481250.0,0.02
Indigencia,sum,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,88550.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:15:05.251773,False,noreste,749550.0,0.02
P47T_hogar,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,279800.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:15:05.251773,False,pampeana,2633600.0,0.02
P47T_hogar,median,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,225250.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:15:05.251773,True,cuyo,559350.0,0.02
P47T_hogar,q10,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,50210.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:15:05.251773,True,noreste,397700.0,0.02
P47T_hogar,q25,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,101750.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:15:05.251773,True,pampeana,2309600.0,0.02
P47T_hogar,q75,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,375670.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:15:05.251773,False,cuyo,0.4346,0.02
P47T_hogar,q90,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,550380.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:15:05.251773,False,noreste,0.4818,0.02
Pobreza,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,0.5648,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:15:05.251773,False,pampeana,0.2679,0.02
Pobreza,sum,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,212050.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:15:05.251773,True,cuyo,0.3361,0.02
Total,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,1.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:15:05.251773,True,noreste,0.3513,0.02
Total,sum,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,375450.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:15:05.251773,True,pampeana,0.2511,0.02
gap_indigencia,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,163470.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:15:05.251773,False,cuyo,209150.0,0.02
gap_indigencia,median,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,114430.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:15:05.251773,False,noreste,361150.0,0.02
gap_pobreza,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,-16600.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:15:05.251773,False,pampeana,705500.0,0.02
gap_pobreza,median,H,2003-08-15,2023-10-29 01:36:05.053218,False,cuyo,-33160.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:15:05.251773,True,cuyo,188000.0,0.02
CBA,mean,H,2003-08-15,2023-10-29 01:36:05.053218,False,gran_buenos_aires,98130.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:15:05.251773,True,noreste,139700.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:36:05.053218,False,gran_buenos_aires,80040.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:15:05.251773,True,pampeana,579900.0,0.02
