observable,sintetico,base,Q,timestamp,AGLOSI,valor,frac
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,141250.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,1.0,0.02
CBA,median,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,127550.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,459150.0,0.02
CBT,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,331120.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,1.0,0.02
CBT,median,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,300860.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,459150.0,0.02
CB_EQUIV,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,3.346,0.02
Indigencia,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,1.0,0.02
CB_EQUIV,median,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,3.02,0.02
Indigencia,sum,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,459150.0,0.02
Indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,1.0,0.02
P47T_hogar,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,105700.0,0.02
Indigencia,sum,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,982150.0,0.02
P47T_hogar,q10,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,0.0,0.02
P47T_hogar,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,63340.0,0.02
P47T_hogar,q25,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,44750.0,0.02
P47T_hogar,median,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,56350.0,0.02
P47T_hogar,median,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,95710.0,0.02
P47T_hogar,q10,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,0.0,0.02
P47T_hogar,q75,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,155240.0,0.02
P47T_hogar,q25,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,0.0,0.02
P47T_hogar,q90,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,215700.0,0.02
P47T_hogar,q75,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,91400.0,0.02
CB_EQUIV,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,3.648,0.02
P47T_hogar,q90,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,144880.0,0.02
CB_EQUIV,median,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,3.32,0.02
Pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,1.0,0.02
CBA,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,170810.0,0.02
Pobreza,sum,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,982150.0,0.02
CBA,median,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,155960.0,0.02
Total,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,1.0,0.02
gap_indigencia,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,-65110.0,0.02
Total,sum,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,982150.0,0.02
gap_indigencia,median,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,-51880.0,0.02
gap_indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,-77920.0,0.02
CBT,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,371620.0,0.02
gap_indigencia,median,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,-64140.0,0.02
CBT,median,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,339980.0,0.02
gap_pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,-267780.0,0.02
gap_pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,-265920.0,0.02
gap_pobreza,median,Hi,2003-08-15,2023-10-29 01:36:12.109025,False,-240600.0,0.02
gap_pobreza,median,Hi,2023-02-15,2023-10-29 13:17:18.607121,False,-242800.0,0.02
CBA,mean,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,142320.0,0.02
CBA,median,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,129300.0,0.02
CBT,mean,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,333350.0,0.02
CBT,median,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,302905.0,0.02
CB_EQUIV,mean,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,3.379,0.02
CB_EQUIV,median,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,3.06,0.02
Indigencia,mean,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,1.0,0.02
Indigencia,sum,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,939300.0,0.02
P47T_hogar,mean,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,65440.0,0.02
P47T_hogar,median,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,53810.0,0.02
P47T_hogar,q10,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,0.0,0.02
P47T_hogar,q25,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,0.0,0.02
P47T_hogar,q75,Hi,2003-11-15,2023-10-29 01:37:19.518958,False,100220.0,0.02
