observable,sintetico,base,Q,timestamp,PROV,valor,frac
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,98100.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,2,1.0,0.02
CBA,median,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,80490.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,10,1.0,0.02
CBT,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,234800.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,18,1.0,0.02
CBT,median,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,192650.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,26,1.0,0.02
CB_EQUIV,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,2.157,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,34,1.0,0.02
CB_EQUIV,median,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,1.77,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,42,1.0,0.02
Indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,1.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,50,1.0,0.02
Indigencia,sum,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,71700.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,58,1.0,0.02
P47T_hogar,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,33780.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,66,1.0,0.02
P47T_hogar,median,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,0.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,74,1.0,0.02
P47T_hogar,q10,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,0.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,82,1.0,0.02
P47T_hogar,q25,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,0.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:27.120749,90,1.0,0.02
P47T_hogar,q75,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,52270.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:27.120749,2,25600.0,0.02
P47T_hogar,q90,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,107390.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:27.120749,10,10650.0,0.02
Pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,1.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:27.120749,18,37500.0,0.02
Pobreza,sum,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,71700.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:27.120749,26,10850.0,0.02
Total,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,1.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:27.120749,34,22750.0,0.02
Total,sum,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,71700.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:27.120749,42,6600.0,0.02
gap_indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.750727,2,-64320.0,0.02
