observable,sintetico,base,Q,timestamp,AGLOMERADO,valor,frac
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,136150.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,0,1.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,126830.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,3,1.0,0.02
CBT,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,322450.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,5,1.0,0.02
CBT,median,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,300860.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,7,1.0,0.02
CB_EQUIV,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,3.187,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,9,1.0,0.02
CB_EQUIV,median,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,2.97,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,12,1.0,0.02
Indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,0.4656,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,14,1.0,0.02
Indigencia,sum,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,982150.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,17,1.0,0.02
P47T_hogar,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,146220.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,19,1.0,0.02
P47T_hogar,median,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,117020.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,22,1.0,0.02
P47T_hogar,q10,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,0.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,25,1.0,0.02
P47T_hogar,q25,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,56350.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,27,1.0,0.02
P47T_hogar,q75,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,224410.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,30,1.0,0.02
P47T_hogar,q90,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,308140.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,32,1.0,0.02
Pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,1.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,34,1.0,0.02
Pobreza,sum,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,2109600.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,38,1.0,0.02
Total,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,1.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,93,1.0,0.02
Total,sum,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,2109600.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,2,59550.0,0.02
gap_indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,10060.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,4,108050.0,0.02
gap_indigencia,median,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,8300.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,6,19900.0,0.02
gap_pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,-176240.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,8,46000.0,0.02
gap_pobreza,median,Hp,2003-08-15,2023-10-29 01:36:06.401609,0,-143085.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,10,93650.0,0.02
CBA,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,136120.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,13,123150.0,0.02
CBA,median,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,127000.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,15,25600.0,0.02
CBT,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,322890.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,18,37700.0,0.02
CBT,median,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,301240.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,20,7600.0,0.02
CB_EQUIV,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,3.184,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,23,57200.0,0.02
