observable,sintetico,base,Q,timestamp,AGLOSI,valor,frac
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,136150.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,1.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,126830.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,1739450.0,0.02
CBT,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,322450.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,1.0,0.02
CBT,median,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,300860.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,1739450.0,0.02
CB_EQUIV,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,3.187,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,0.264,0.02
CB_EQUIV,median,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,2.97,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,459150.0,0.02
Indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,0.4656,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,223300.0,0.02
Indigencia,sum,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,982150.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,60250.0,0.02
P47T_hogar,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,146220.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,120500.0,0.02
P47T_hogar,median,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,117020.0,0.02
P47T_hogar,median,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,209430.0,0.02
P47T_hogar,q10,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,0.0,0.02
P47T_hogar,q75,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,300460.0,0.02
P47T_hogar,q25,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,56350.0,0.02
P47T_hogar,q90,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,399090.0,0.02
P47T_hogar,q75,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,224410.0,0.02
CB_EQUIV,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,3.54,0.02
P47T_hogar,q90,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,308140.0,0.02
CB_EQUIV,median,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,3.3,0.02
Pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,1.0,0.02
CBA,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,167420.0,0.02
Pobreza,sum,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,2109600.0,0.02
CBA,median,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,157070.0,0.02
Total,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,1.0,0.02
gap_indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,55870.0,0.02
Total,sum,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,2109600.0,0.02
gap_indigencia,median,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,53020.0,0.02
gap_indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,10060.0,0.02
CBT,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,368140.0,0.02
gap_indigencia,median,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,8300.0,0.02
CBT,median,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,344810.0,0.02
gap_pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,-176240.0,0.02
gap_pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,-144840.0,0.02
gap_pobreza,median,Hp,2003-08-15,2023-10-29 01:36:06.263001,False,-143085.0,0.02
gap_pobreza,median,Hp,2023-02-15,2023-10-29 13:15:16.426526,False,-113670.0,0.02
CBA,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,136120.0,0.02
CBA,median,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,127000.0,0.02
CBT,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,322890.0,0.02
CBT,median,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,301240.0,0.02
CB_EQUIV,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,3.184,0.02
CB_EQUIV,median,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,2.97,0.02
Indigencia,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,0.4367,0.02
Indigencia,sum,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,939300.0,0.02
P47T_hogar,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,151020.0,0.02
P47T_hogar,median,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,124750.0,0.02
P47T_hogar,q10,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,0.0,0.02
P47T_hogar,q25,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,56350.0,0.02
P47T_hogar,q75,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,225290.0,0.02
P47T_hogar,q90,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,313060.0,0.02
Pobreza,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,1.0,0.02
Pobreza,sum,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,2151100.0,0.02
Total,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,1.0,0.02
Total,sum,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,2151100.0,0.02
gap_indigencia,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,14900.0,0.02
gap_indigencia,median,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,16515.0,0.02
gap_pobreza,mean,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,-171880.0,0.02
gap_pobreza,median,Hp,2003-11-15,2023-10-29 01:37:12.186163,False,-138535.0,0.02
CBA,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,136650.0,0.02
CBA,median,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,127670.0,0.02
CBT,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,323500.0,0.02
CBT,median,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,300970.0,0.02
CB_EQUIV,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,3.202,0.02
CB_EQUIV,median,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,3.0,0.02
Indigencia,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,0.4357,0.02
Indigencia,sum,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,891000.0,0.02
P47T_hogar,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,152230.0,0.02
P47T_hogar,median,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,120500.0,0.02
P47T_hogar,q10,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,0.0,0.02
P47T_hogar,q25,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,64700.0,0.02
P47T_hogar,q75,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,225290.0,0.02
P47T_hogar,q90,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,318730.0,0.02
Pobreza,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,1.0,0.02
Pobreza,sum,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,2044950.0,0.02
Total,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,1.0,0.02
Total,sum,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,2044950.0,0.02
gap_indigencia,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,15580.0,0.02
gap_indigencia,median,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,15940.0,0.02
gap_pobreza,mean,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,-171270.0,0.02
gap_pobreza,median,Hp,2004-02-15,2023-10-29 01:38:28.395196,False,-137920.0,0.02
CBA,mean,Hp,2004-05-15,2023-10-29 01:39:57.896603,False,136680.0,0.02
CBA,median,Hp,2004-05-15,2023-10-29 01:39:57.896603,False,127550.0,0.02
CBT,mean,Hp,2004-05-15,2023-10-29 01:39:57.896603,False,323890.0,0.02
