observable,sintetico,base,Q,timestamp,Region,valor,frac
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,139040.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,1.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,131730.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,1.0,0.02
CBT,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,354270.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,1.0,0.02
CBT,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,335650.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,397150.0,0.02
CB_EQUIV,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,3.43,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,500850.0,0.02
CB_EQUIV,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,3.25,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,1285400.0,0.02
Indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,0.3855,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,1.0,0.02
Indigencia,sum,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,149200.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,1.0,0.02
P47T_hogar,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,174660.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,1.0,0.02
P47T_hogar,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,151880.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,397150.0,0.02
P47T_hogar,q10,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,0.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,500850.0,0.02
P47T_hogar,q25,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,70940.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,1285400.0,0.02
P47T_hogar,q75,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,258480.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,0.2096,0.02
P47T_hogar,q90,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,347590.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,0.3166,0.02
Pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,1.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,0.2368,0.02
Pobreza,sum,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,387000.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,83250.0,0.02
Total,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,1.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,158550.0,0.02
Total,sum,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,387000.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,304400.0,0.02
gap_indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,35630.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,236720.0,0.02
gap_indigencia,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,32380.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,199940.0,0.02
gap_pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,-179610.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,232070.0,0.02
gap_pobreza,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,cuyo,-148740.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,74290.0,0.02
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,gran_buenos_aires,140610.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,56350.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,gran_buenos_aires,132790.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,59000.0,0.02
CBT,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,gran_buenos_aires,336530.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,141580.0,0.02
CBT,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,gran_buenos_aires,317820.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:23.440243,noreste,107390.0,0.02
CB_EQUIV,mean,Hp,2003-08-15,2023-10-29 01:36:06.741748,gran_buenos_aires,3.092,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:23.440243,pampeana,126180.0,0.02
CB_EQUIV,median,Hp,2003-08-15,2023-10-29 01:36:06.741748,gran_buenos_aires,2.92,0.02
P47T_hogar,median,Hp,2023-02-15,2023-10-29 13:15:23.440243,cuyo,220180.0,0.02
