observable,sintetico,base,Q,timestamp,AGLOSI,valor,frac
CBA,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,156830.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,1.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:43.960027,False,124390.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:09:49.425757,False,9656400.0,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,372340.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,0.3247,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:43.960027,False,296540.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:09:49.425757,False,3135550.0,0.02
CB_EQUIV,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,3.658,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,0.0717,0.02
CB_EQUIV,median,M24,2003-08-15,2023-10-29 01:35:43.960027,False,2.8,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:09:49.425757,False,692800.0,0.02
Indigencia,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,0.2162,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,189930.0,0.02
Indigencia,sum,M24,2003-08-15,2023-10-29 01:35:43.960027,False,1672900.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:09:49.425757,False,19520.0,0.02
P47T_hogar,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,461200.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:09:49.425757,False,97940.0,0.02
P47T_hogar,median,M24,2003-08-15,2023-10-29 01:35:43.960027,False,273310.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:09:49.425757,False,166350.0,0.02
P47T_hogar,q10,M24,2003-08-15,2023-10-29 01:35:43.960027,False,59000.0,0.02
P47T_persona,q75,M24,2023-02-15,2023-10-29 13:09:49.425757,False,257660.0,0.02
P47T_hogar,q25,M24,2003-08-15,2023-10-29 01:35:43.960027,False,135210.0,0.02
P47T_persona,q90,M24,2023-02-15,2023-10-29 13:09:49.425757,False,347590.0,0.02
P47T_hogar,q75,M24,2003-08-15,2023-10-29 01:35:43.960027,False,466110.0,0.02
P47T_hogar,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,599400.0,0.02
P47T_hogar,q90,M24,2003-08-15,2023-10-29 01:35:43.960027,False,700430.0,0.02
P47T_hogar,q10,M24,2023-02-15,2023-10-29 13:09:49.425757,False,154630.0,0.02
P47T_persona,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,146700.0,0.02
P47T_hogar,q25,M24,2023-02-15,2023-10-29 13:09:49.425757,False,252270.0,0.02
P47T_persona,median,M24,2003-08-15,2023-10-29 01:35:43.960027,False,104950.0,0.02
P47T_hogar,median,M24,2023-02-15,2023-10-29 13:09:49.425757,False,390010.0,0.02
P47T_persona,q10,M24,2003-08-15,2023-10-29 01:35:43.960027,False,0.0,0.02
P47T_hogar,q75,M24,2023-02-15,2023-10-29 13:09:49.425757,False,586090.0,0.02
P47T_persona,q25,M24,2003-08-15,2023-10-29 01:35:43.960027,False,0.0,0.02
P47T_hogar,q90,M24,2023-02-15,2023-10-29 13:09:49.425757,False,822830.0,0.02
P47T_persona,q75,M24,2003-08-15,2023-10-29 01:35:43.960027,False,224410.0,0.02
CB_EQUIV,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,3.709,0.02
P47T_persona,q90,M24,2003-08-15,2023-10-29 01:35:43.960027,False,324390.0,0.02
CB_EQUIV,median,M24,2023-02-15,2023-10-29 13:09:49.425757,False,2.83,0.02
Pobreza,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,0.504,0.02
CBA,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,177780.0,0.02
Pobreza,sum,M24,2003-08-15,2023-10-29 01:35:43.960027,False,3899900.0,0.02
CBA,median,M24,2023-02-15,2023-10-29 13:09:49.425757,False,138850.0,0.02
Total,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,1.0,0.02
gap_indigencia,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,421620.0,0.02
Total,sum,M24,2003-08-15,2023-10-29 01:35:43.960027,False,7737600.0,0.02
gap_indigencia,median,M24,2023-02-15,2023-10-29 13:09:49.425757,False,249070.0,0.02
gap_indigencia,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,304370.0,0.02
CBT,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,392760.0,0.02
gap_indigencia,median,M24,2003-08-15,2023-10-29 01:35:43.960027,False,145500.0,0.02
CBT,median,M24,2023-02-15,2023-10-29 13:09:49.425757,False,306730.0,0.02
gap_pobreza,mean,M24,2003-08-15,2023-10-29 01:35:43.960027,False,88860.0,0.02
gap_pobreza,mean,M24,2023-02-15,2023-10-29 13:09:49.425757,False,206640.0,0.02
gap_pobreza,median,M24,2003-08-15,2023-10-29 01:35:43.960027,False,-1760.0,0.02
gap_pobreza,median,M24,2023-02-15,2023-10-29 13:09:49.425757,False,100550.0,0.02
CBA,mean,M24,2003-11-15,2023-10-29 01:36:49.373172,False,156830.0,0.02
CBA,median,M24,2003-11-15,2023-10-29 01:36:49.373172,False,124390.0,0.02
CBT,mean,M24,2003-11-15,2023-10-29 01:36:49.373172,False,372340.0,0.02
CBT,median,M24,2003-11-15,2023-10-29 01:36:49.373172,False,296540.0,0.02
CB_EQUIV,mean,M24,2003-11-15,2023-10-29 01:36:49.373172,False,3.658,0.02
CB_EQUIV,median,M24,2003-11-15,2023-10-29 01:36:49.373172,False,2.8,0.02
Indigencia,mean,M24,2003-11-15,2023-10-29 01:36:49.373172,False,0.2087,0.02
Indigencia,sum,M24,2003-11-15,2023-10-29 01:36:49.373172,False,1615200.0,0.02
P47T_hogar,mean,M24,2003-11-15,2023-10-29 01:36:49.373172,False,555630.0,0.02
P47T_hogar,median,M24,2003-11-15,2023-10-29 01:36:49.373172,False,263670.0,0.02
P47T_hogar,q10,M24,2003-11-15,2023-10-29 01:36:49.373172,False,57660.0,0.02
P47T_hogar,q25,M24,2003-11-15,2023-10-29 01:36:49.373172,False,138360.0,0.02
P47T_hogar,q75,M24,2003-11-15,2023-10-29 01:36:49.373172,False,442070.0,0.02
P47T_hogar,q90,M24,2003-11-15,2023-10-29 01:36:49.373172,False,673760.0,0.02
P47T_persona,mean,M24,2003-11-15,2023-10-29 01:36:49.373172,False,141580.0,0.02
P47T_persona,median,M24,2003-11-15,2023-10-29 01:36:49.373172,False,97940.0,0.02
P47T_persona,q10,M24,2003-11-15,2023-10-29 01:36:49.373172,False,0.0,0.02
P47T_persona,q25,M24,2003-11-15,2023-10-29 01:36:49.373172,False,10710.0,0.02
