observable,sintetico,base,Q,timestamp,Total,valor,frac
CBA,mean,M24,2003-08-15,2023-10-29 01:35:42.744817,True,223280.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,1.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:42.744817,True,124390.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,0.2685,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:42.744817,True,526960.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,0.0548,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:42.744817,True,297430.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,210610.0,0.02
CB_EQUIV,mean,M24,2003-08-15,2023-10-29 01:35:42.744817,True,5.17,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:09:47.051242,True,107390.0,0.02
CB_EQUIV,median,M24,2003-08-15,2023-10-29 01:35:42.744817,True,2.78,0.02
P47T_persona,q75,M24,2023-02-15,2023-10-29 13:09:47.051242,True,269810.0,0.02
Indigencia,mean,M24,2003-08-15,2023-10-29 01:35:42.744817,True,0.1588,0.02
P47T_hogar,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,1310910.0,0.02
Indigencia,sum,M24,2003-08-15,2023-10-29 01:35:42.744817,True,3460900.0,0.02
P47T_hogar,q25,M24,2023-02-15,2023-10-29 13:09:47.051242,True,276090.0,0.02
P47T_hogar,mean,M24,2003-08-15,2023-10-29 01:35:42.744817,True,883120.0,0.02
P47T_hogar,q75,M24,2023-02-15,2023-10-29 13:09:47.051242,True,664350.0,0.02
P47T_hogar,median,M24,2003-08-15,2023-10-29 01:35:42.744817,True,339680.0,0.02
CB_EQUIV,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,6.015,0.02
P47T_hogar,q10,M24,2003-08-15,2023-10-29 01:35:42.744817,True,70940.0,0.02
CBA,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,295770.0,0.02
P47T_hogar,q25,M24,2003-08-15,2023-10-29 01:35:42.744817,True,182930.0,0.02
gap_indigencia,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,1015140.0,0.02
P47T_hogar,q75,M24,2003-08-15,2023-10-29 01:35:42.744817,True,578220.0,0.02
CBT,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,654880.0,0.02
P47T_hogar,q90,M24,2003-08-15,2023-10-29 01:35:42.744817,True,905070.0,0.02
gap_pobreza,mean,M24,2023-02-15,2023-10-29 13:09:47.051242,True,656030.0,0.02
P47T_persona,mean,M24,2003-08-15,2023-10-29 01:35:42.744817,True,182670.0,0.02
P47T_persona,median,M24,2003-08-15,2023-10-29 01:35:42.744817,True,141580.0,0.02
P47T_persona,q10,M24,2003-08-15,2023-10-29 01:35:42.744817,True,0.0,0.02
P47T_persona,q25,M24,2003-08-15,2023-10-29 01:35:42.744817,True,35540.0,0.02
P47T_persona,q75,M24,2003-08-15,2023-10-29 01:35:42.744817,True,263670.0,0.02
P47T_persona,q90,M24,2003-08-15,2023-10-29 01:35:42.744817,True,372450.0,0.02
