observable,sintetico,base,Q,timestamp,P0910,valor,frac
CBA,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,205130.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,1.0,0.02
CBA,median,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,140240.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,1.0,0.02
CBT,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,488550.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,1.0,0.02
CBT,median,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,336330.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,1.0,0.02
CB_EQUIV,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,4.679,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,1.0,0.02
CB_EQUIV,median,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,3.19,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,1.0,0.02
Indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,0.3221,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,1.0,0.02
Indigencia,sum,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,531450.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,1.0,0.02
P47T_hogar,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,585600.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,1192200.0,0.02
P47T_hogar,median,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,256690.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,4661350.0,0.02
P47T_hogar,q10,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,53810.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,119650.0,0.02
P47T_hogar,q25,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,109900.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,4326400.0,0.02
P47T_hogar,q75,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,462110.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,1130700.0,0.02
P47T_hogar,q90,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,719040.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,1458050.0,0.02
P47T_persona,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,14540.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,153100.0,0.02
P47T_persona,median,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,0.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,0.5113,0.02
P47T_persona,q10,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,0.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,0.4863,0.02
P47T_persona,q25,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,0.0,0.02
