observable,sintetico,base,Q,timestamp,PROV,valor,frac
CBA,mean,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,177720.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,2,1.0,0.02
CBA,median,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,114600.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,10,1.0,0.02
CBT,mean,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,425360.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,18,1.0,0.02
CBT,median,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,274290.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,26,1.0,0.02
CB_EQUIV,mean,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,3.908,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,34,1.0,0.02
CB_EQUIV,median,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,2.52,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,42,1.0,0.02
Indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,0.0697,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,50,1.0,0.02
Indigencia,sum,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,190700.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,58,1.0,0.02
P47T_hogar,mean,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,1167790.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,66,1.0,0.02
P47T_hogar,median,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,531770.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,74,1.0,0.02
P47T_hogar,q10,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,149930.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,82,1.0,0.02
P47T_hogar,q25,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,289110.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,90,1.0,0.02
P47T_hogar,q75,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,909430.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,2,3000000.0,0.02
P47T_hogar,q90,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,1492130.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:08:30.234435,10,191700.0,0.02
P47T_persona,mean,PAGLO,2003-08-15,2023-10-29 01:35:34.575941,2,237900.0,0.02
