observable,sintetico,base,Q,timestamp,Region,valor,frac
CBA,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,172340.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,1.0,0.02
CBA,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,141460.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,1.0,0.02
CBT,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,439130.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,1.0,0.02
CBT,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,360430.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,1994950.0,0.02
CB_EQUIV,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,4.252,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,1427200.0,0.02
CB_EQUIV,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,3.49,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,7355100.0,0.02
Indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,0.168,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,0.4323,0.02
Indigencia,sum,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,265400.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,0.4403,0.02
P47T_hogar,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,532400.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,0.3368,0.02
P47T_hogar,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,344880.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,862350.0,0.02
P47T_hogar,q10,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,74290.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,628450.0,0.02
P47T_hogar,q25,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,204660.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,2477400.0,0.02
P47T_hogar,q75,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,556820.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,0.0866,0.02
P47T_hogar,q90,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,788010.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,0.1161,0.02
P47T_persona,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,108670.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,0.0819,0.02
P47T_persona,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,19520.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,172700.0,0.02
P47T_persona,q10,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,0.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,165650.0,0.02
P47T_persona,q25,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,0.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,602250.0,0.02
P47T_persona,q75,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,186650.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,119650.0,0.02
P47T_persona,q90,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,295840.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,103310.0,0.02
Pobreza,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,0.4954,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,147850.0,0.02
Pobreza,sum,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,782650.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,0.0,0.02
Total,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,1.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,0.0,0.02
Total,sum,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,1579950.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,0.0,0.02
gap_indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,360060.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,0.0,0.02
gap_indigencia,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,205920.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,0.0,0.02
gap_pobreza,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,93270.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,0.0,0.02
gap_pobreza,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,cuyo,3370.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,85300.0,0.02
CBA,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,gran_buenos_aires,189350.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,69330.0,0.02
CBA,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,gran_buenos_aires,141430.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,115080.0,0.02
CBT,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,gran_buenos_aires,453190.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,cuyo,195450.0,0.02
CBT,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,gran_buenos_aires,338500.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,noreste,170230.0,0.02
CB_EQUIV,mean,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,gran_buenos_aires,4.164,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:08:24.639658,pampeana,251800.0,0.02
CB_EQUIV,median,PAGLO,2003-08-15,2023-10-29 01:35:32.968913,gran_buenos_aires,3.11,0.02
