observable,sintetico,base,Q,timestamp,Total,valor,frac
CBA,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,245660.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,1.0,0.02
CBA,median,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,141970.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,0.3433,0.02
CBT,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,580510.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,0.0811,0.02
CBT,median,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,339590.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,144260.0,0.02
CB_EQUIV,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,5.651,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,0.0,0.02
CB_EQUIV,median,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,3.22,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,234990.0,0.02
Indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,0.1903,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,1374370.0,0.02
Indigencia,sum,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,4406000.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,275750.0,0.02
P47T_hogar,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,900860.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,671620.0,0.02
P47T_hogar,median,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,349740.0,0.02
CB_EQUIV,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,6.593,0.02
P47T_hogar,q10,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,70940.0,0.02
CBA,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,325660.0,0.02
P47T_hogar,q25,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,186650.0,0.02
gap_indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,1048720.0,0.02
P47T_hogar,q75,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,596150.0,0.02
CBT,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,721300.0,0.02
P47T_hogar,q90,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,919500.0,0.02
gap_pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:08:06.580719,True,653070.0,0.02
P47T_persona,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,130240.0,0.02
P47T_persona,median,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,53810.0,0.02
P47T_persona,q10,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,0.0,0.02
P47T_persona,q25,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,0.0,0.02
P47T_persona,q75,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,214310.0,0.02
P47T_persona,q90,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,339680.0,0.02
Pobreza,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,0.4566,0.02
Pobreza,sum,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,10575200.0,0.02
Total,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,1.0,0.02
Total,sum,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,23159000.0,0.02
gap_indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:28.119933,True,655200.0,0.02
