observable,sintetico,base,Q,timestamp,P0910,valor,frac
CBA,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,190840.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,2,1.0,0.02
CBA,median,P,2003-08-15,2023-10-29 01:35:21.381220,2,140170.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,20,1.0,0.02
CBT,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,453200.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,30,1.0,0.02
CBT,median,P,2003-08-15,2023-10-29 01:35:21.381220,2,334720.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,40,1.0,0.02
CB_EQUIV,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,4.406,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,60,1.0,0.02
CB_EQUIV,median,P,2003-08-15,2023-10-29 01:35:21.381220,2,3.24,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,70,1.0,0.02
Indigencia,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,0.3891,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,80,1.0,0.02
Indigencia,sum,P,2003-08-15,2023-10-29 01:35:21.381220,2,1139600.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:07:44.391843,92,1.0,0.02
P47T_hogar,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,452350.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:07:44.391843,12,1874050.0,0.02
P47T_hogar,median,P,2003-08-15,2023-10-29 01:35:21.381220,2,214310.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:07:44.391843,21,7977250.0,0.02
P47T_hogar,q10,P,2003-08-15,2023-10-29 01:35:21.381220,2,25010.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:07:44.391843,31,220150.0,0.02
P47T_hogar,q25,P,2003-08-15,2023-10-29 01:35:21.381220,2,81460.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:07:44.391843,41,6223300.0,0.02
P47T_hogar,q75,P,2003-08-15,2023-10-29 01:35:21.381220,2,396020.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:07:44.391843,61,1751150.0,0.02
P47T_hogar,q90,P,2003-08-15,2023-10-29 01:35:21.381220,2,642410.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:07:44.391843,71,1871000.0,0.02
P47T_persona,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,15310.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:07:44.391843,81,184000.0,0.02
P47T_persona,median,P,2003-08-15,2023-10-29 01:35:21.381220,2,0.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,2,0.5492,0.02
P47T_persona,q10,P,2003-08-15,2023-10-29 01:35:21.381220,2,0.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,20,0.523,0.02
P47T_persona,q25,P,2003-08-15,2023-10-29 01:35:21.381220,2,0.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,30,0.6278,0.02
P47T_persona,q75,P,2003-08-15,2023-10-29 01:35:21.381220,2,0.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,40,0.4366,0.02
P47T_persona,q90,P,2003-08-15,2023-10-29 01:35:21.381220,2,47950.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,60,0.2358,0.02
Pobreza,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,0.6957,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,70,0.1722,0.02
Pobreza,sum,P,2003-08-15,2023-10-29 01:35:21.381220,2,2037800.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,80,0.0569,0.02
Total,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,1.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:07:44.391843,92,0.4691,0.02
Total,sum,P,2003-08-15,2023-10-29 01:35:21.381220,2,2929150.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:07:44.391843,12,968950.0,0.02
gap_indigencia,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,261500.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:07:44.391843,21,2986950.0,0.02
gap_indigencia,median,P,2003-08-15,2023-10-29 01:35:21.381220,2,58860.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:07:44.391843,31,133450.0,0.02
gap_pobreza,mean,P,2003-08-15,2023-10-29 01:35:21.381220,2,-850.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:07:44.391843,41,1521100.0,0.02
gap_pobreza,median,P,2003-08-15,2023-10-29 01:35:21.381220,2,-128710.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:07:44.391843,61,169250.0,0.02
CBA,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,190840.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:07:44.391843,71,76850.0,0.02
CBA,median,P,2003-11-15,2023-10-29 01:36:36.304460,2,140170.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:07:44.391843,81,19250.0,0.02
CBT,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,453200.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,2,0.1634,0.02
CBT,median,P,2003-11-15,2023-10-29 01:36:36.304460,2,334720.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,20,0.1558,0.02
CB_EQUIV,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,4.406,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,30,0.1865,0.02
