observable,sintetico,base,Q,timestamp,Region,valor,frac
CBA,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,162380.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,1.0,0.02
CBA,median,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,140240.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,1.0,0.02
CBT,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,413740.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,1.0,0.02
CBT,median,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,357330.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,3723850.0,0.02
CB_EQUIV,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,4.006,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,4246400.0,0.02
CB_EQUIV,median,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,3.46,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,15596400.0,0.02
Indigencia,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,0.2258,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,0.4855,0.02
Indigencia,sum,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,662900.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,0.544,0.02
P47T_hogar,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,425960.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,0.3537,0.02
P47T_hogar,median,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,295840.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,1807850.0,0.02
P47T_hogar,q10,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,67750.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,2310200.0,0.02
P47T_hogar,q25,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,162340.0,0.02
Pobreza,sum,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,5516750.0,0.02
P47T_hogar,q75,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,489110.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,0.1056,0.02
P47T_hogar,q90,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,696070.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,0.1804,0.02
P47T_persona,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,94270.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,0.0855,0.02
P47T_persona,median,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,0.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,393200.0,0.02
P47T_persona,q10,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,0.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,766250.0,0.02
P47T_persona,q25,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,0.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,1333800.0,0.02
P47T_persona,q75,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,166350.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,110500.0,0.02
P47T_persona,q90,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,289110.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,90110.0,0.02
Pobreza,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,0.5723,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,139220.0,0.02
Pobreza,sum,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,1680000.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,0.0,0.02
Total,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,1.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,0.0,0.02
Total,sum,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,2935750.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,0.0,0.02
gap_indigencia,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,263580.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,0.0,0.02
gap_indigencia,median,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,155100.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,0.0,0.02
gap_pobreza,mean,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,12220.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,0.0,0.02
gap_pobreza,median,P,2003-08-15,2023-10-29 01:35:10.011465,cuyo,-46750.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,77790.0,0.02
CBA,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,189820.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,55060.0,0.02
CBA,median,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,141430.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,109900.0,0.02
CBT,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,454310.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,186650.0,0.02
CBT,median,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,338500.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,138360.0,0.02
CB_EQUIV,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,4.174,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,234990.0,0.02
CB_EQUIV,median,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,3.11,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,263670.0,0.02
Indigencia,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,0.1718,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,246070.0,0.02
Indigencia,sum,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,2013300.0,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,339680.0,0.02
P47T_hogar,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,713850.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,550580.0,0.02
P47T_hogar,median,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,382410.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,533620.0,0.02
P47T_hogar,q10,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,71080.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,1928630.0,0.02
P47T_hogar,q25,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,204660.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,155140.0,0.02
P47T_hogar,q75,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,645980.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,115360.0,0.02
P47T_hogar,q90,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,1013280.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,165690.0,0.02
P47T_persona,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,146520.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,240460.0,0.02
P47T_persona,median,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,63220.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,193780.0,0.02
P47T_persona,q10,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,0.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,264290.0,0.02
P47T_persona,q25,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,0.0,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,371010.0,0.02
P47T_persona,q75,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,234990.0,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,308580.0,0.02
P47T_persona,q90,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,355690.0,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,421640.0,0.02
Pobreza,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,0.4182,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:05:12.171017,cuyo,539620.0,0.02
Pobreza,sum,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,4902300.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:05:12.171017,noreste,482970.0,0.02
Total,mean,P,2003-08-15,2023-10-29 01:35:10.011465,gran_buenos_aires,1.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:05:12.171017,pampeana,634400.0,0.02
