observable,sintetico,base,Q,timestamp,Total,valor,frac
CBA,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,217180.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,1.0,0.02
CBA,median,P,2003-08-15,2023-10-29 01:35:03.978141,True,142340.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,0.3855,0.02
CBT,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,513790.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,0.0982,0.02
CBT,median,P,2003-08-15,2023-10-29 01:35:03.978141,True,339630.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,133480.0,0.02
CB_EQUIV,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,5.019,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:04:58.159131,True,0.0,0.02
CB_EQUIV,median,P,2003-08-15,2023-10-29 01:35:03.978141,True,3.25,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:04:58.159131,True,219300.0,0.02
Indigencia,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,0.2346,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,1068070.0,0.02
Indigencia,sum,P,2003-08-15,2023-10-29 01:35:03.978141,True,8648250.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:04:58.159131,True,257660.0,0.02
P47T_hogar,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,708580.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:04:58.159131,True,630400.0,0.02
P47T_hogar,median,P,2003-08-15,2023-10-29 01:35:03.978141,True,305810.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,5.796,0.02
P47T_hogar,q10,P,2003-08-15,2023-10-29 01:35:03.978141,True,60380.0,0.02
CBA,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,283920.0,0.02
P47T_hogar,q25,P,2003-08-15,2023-10-29 01:35:03.978141,True,151650.0,0.02
gap_indigencia,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,784150.0,0.02
P47T_hogar,q75,P,2003-08-15,2023-10-29 01:35:03.978141,True,530680.0,0.02
CBT,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,628230.0,0.02
P47T_hogar,q90,P,2003-08-15,2023-10-29 01:35:03.978141,True,823350.0,0.02
gap_pobreza,mean,P,2023-02-15,2023-10-29 13:04:58.159131,True,439840.0,0.02
P47T_persona,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,114370.0,0.02
P47T_persona,median,P,2003-08-15,2023-10-29 01:35:03.978141,True,34730.0,0.02
P47T_persona,q10,P,2003-08-15,2023-10-29 01:35:03.978141,True,0.0,0.02
P47T_persona,q25,P,2003-08-15,2023-10-29 01:35:03.978141,True,0.0,0.02
P47T_persona,q75,P,2003-08-15,2023-10-29 01:35:03.978141,True,186650.0,0.02
P47T_persona,q90,P,2003-08-15,2023-10-29 01:35:03.978141,True,317000.0,0.02
Pobreza,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,0.5173,0.02
Pobreza,sum,P,2003-08-15,2023-10-29 01:35:03.978141,True,19073850.0,0.02
Total,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,1.0,0.02
Total,sum,P,2003-08-15,2023-10-29 01:35:03.978141,True,36869600.0,0.02
gap_indigencia,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,491400.0,0.02
gap_indigencia,median,P,2003-08-15,2023-10-29 01:35:03.978141,True,164640.0,0.02
gap_pobreza,mean,P,2003-08-15,2023-10-29 01:35:03.978141,True,194790.0,0.02
gap_pobreza,median,P,2003-08-15,2023-10-29 01:35:03.978141,True,-12100.0,0.02
CBA,mean,P,2003-11-15,2023-10-29 01:36:21.590967,True,217180.0,0.02
CBA,median,P,2003-11-15,2023-10-29 01:36:21.590967,True,142340.0,0.02
CBT,mean,P,2003-11-15,2023-10-29 01:36:21.590967,True,513790.0,0.02
CBT,median,P,2003-11-15,2023-10-29 01:36:21.590967,True,339630.0,0.02
CB_EQUIV,mean,P,2003-11-15,2023-10-29 01:36:21.590967,True,5.019,0.02
CB_EQUIV,median,P,2003-11-15,2023-10-29 01:36:21.590967,True,3.25,0.02
Indigencia,mean,P,2003-11-15,2023-10-29 01:36:21.590967,True,0.2269,0.02
Indigencia,sum,P,2003-11-15,2023-10-29 01:36:21.590967,True,8365500.0,0.02
P47T_hogar,mean,P,2003-11-15,2023-10-29 01:36:21.590967,True,848850.0,0.02
P47T_hogar,median,P,2003-11-15,2023-10-29 01:36:21.590967,True,298210.0,0.02
P47T_hogar,q10,P,2003-11-15,2023-10-29 01:36:21.590967,True,62080.0,0.02
P47T_hogar,q25,P,2003-11-15,2023-10-29 01:36:21.590967,True,155240.0,0.02
P47T_hogar,q75,P,2003-11-15,2023-10-29 01:36:21.590967,True,522830.0,0.02
