,NOMPROV,NOMDPTO,seccion_nombre,NAM,count,pct
0,Buenos Aires,25 de Mayo,25 De Mayo,25 de Mayo,641,0.0009366483769388694
1,Buenos Aires,9 de Julio,Nueve De Julio,9 de Julio,830,0.0012128208312937
2,Buenos Aires,Adolfo Alsina,Adolfo Alsina,Adolfo Alsina,319,0.00046613234359360275
3,Buenos Aires,Adolfo Gonzáles Chaves,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,205,0.0002995521330303717
4,Buenos Aires,Alberti,Alberti,Alberti,197,0.00028786229369260106
5,Buenos Aires,Almirante Brown,Almirante Brown,Almirante Brown,7806,0.011406360733829665
6,Buenos Aires,Avellaneda,Avellaneda,Avellaneda,5870,0.008577419614089178
7,Buenos Aires,Ayacucho,Ayacucho,Ayacucho,365,0.0005333489197857837
8,Buenos Aires,Azul,Azul,Azul,1140,0.0016658021056323107
9,Buenos Aires,Bahía Blanca,Bahía Blanca,Bahía Blanca,5397,0.007886257863243491
10,Buenos Aires,Balcarce,Balcarce,Balcarce,767,0.0011207633465087565
11,Buenos Aires,Baradero,Baradero,Baradero,585,0.0008548195015744752
12,Buenos Aires,Bartolomé Mitre,Arrecifes,Arrecifes,518,0.0007569170971206464
13,Buenos Aires,Benito Juárez,Benito Juárez,Benito Juárez,344,0.0005026630915241359
14,Buenos Aires,Berazategui,Berazategui,Berazategui,5129,0.0074946482454281765
15,Buenos Aires,Berisso,Berisso,Berisso,1513,0.002210840864755865
16,Buenos Aires,Bolívar,Bolívar,Bolívar,633,0.0009249585376010989
17,Buenos Aires,Bragado,Bragado,Bragado,725,0.0010593916899854607
18,Buenos Aires,Brandsen,Brandsen,Brandsen,501,0.000732076188527884
19,Buenos Aires,Campana,Campana,Campana,1592,0.0023262780282163496
20,Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,Capitán Sarmiento,268,0.00039160961781531514
21,Buenos Aires,Carlos Casares,Carlos Casares,Carlos Casares,417,0.0006093328754812926
22,Buenos Aires,Carlos Tejedor,Carlos Tejedor,Carlos Tejedor,199,0.0002907847535270437
23,Buenos Aires,Carmen de Areco,Carmen De Areco,Carmen de Areco,246,0.00035946255963644597
24,Buenos Aires,Castelli,Castelli,Castelli,145,0.00021187833799709215
25,Buenos Aires,Cañuelas,Cañuelas,Cañuelas,956,0.0013969358008635868
26,Buenos Aires,Chacabuco,Chacabuco,Chacabuco,897,0.0013107232357475287
27,Buenos Aires,Chascomús,Chascomús,Chascomús,779,0.0011382981055154124
28,Buenos Aires,Chivilcoy,Chivilcoy,Chivilcoy,1182,0.0017271737621556065
29,Buenos Aires,Colón,Colón,Colón,450,0.0006575534627495963
30,Buenos Aires,Coronel Dorrego,Coronel Dorrego,Coronel Dorrego,269,0.0003930708477325365
31,Buenos Aires,Coronel Pringles,Coronel Pringles,Coronel Pringles,385,0.0005625735181302102
32,Buenos Aires,Coronel Suárez,Coronel Suárez,Coronel Suárez,708,0.0010345507813926983
33,Buenos Aires,Coronel de Marina L. Rosales,Coronel Rosales,Coronel de Marina Leonardo Rosales,989,0.0014451563881318905
34,Buenos Aires,Daireaux,Daireaux,Daireaux,297,0.0004339852854147336
35,Buenos Aires,Dolores,Dolores,Dolores,480,0.0007013903602662361
36,Buenos Aires,Ensenada,Ensenada,Ensenada,958,0.0013998582606980295
37,Buenos Aires,Escobar,Escobar,Escobar,3660,0.00534810149703005
38,Buenos Aires,Esteban Echeverría,Esteban Echeverría,Esteban Echeverría,5482,0.008010462406207305
39,Buenos Aires,Exaltación de la Cruz,Exaltación De La Cruz,Exaltación de la Cruz,576,0.0008416684323194833
40,Buenos Aires,Ezeiza,Ezeiza,Ezeiza,3126,0.0045678047212338625
41,Buenos Aires,Florencio Varela,Florencio Varela,Florencio Varela,7075,0.010338201664340876
42,Buenos Aires,Florentino Ameghino,F. Ameghino,Florentino Ameghino,164,0.00023964170642429733
43,Buenos Aires,General Alvarado,General Alvarado,General Alvarado,722,0.0010550080002337968
44,Buenos Aires,General Alvear,General Alvear,General Alvear,170,0.00024840908592762526
45,Buenos Aires,General Arenales,General Arenales,General Arenales,267,0.00039014838789809385
46,Buenos Aires,General Belgrano,General Belgrano,General Belgrano,338,0.0004938957120208079
47,Buenos Aires,General Guido,General Guido,General Guido,52,7.59839556955089e-05
48,Buenos Aires,General Juan Madariaga,General Madariaga,General Juan Madariaga,350,0.0005114304710274638
49,Buenos Aires,General La Madrid,General La Madrid,General La Madrid,184,0.00026886630476872386
50,Buenos Aires,General Las Heras,General Las Heras,General Las Heras,277,0.00040476068707030705
51,Buenos Aires,General Lavalle,General Lavalle,General Lavalle,73,0.00010666978395715674
52,Buenos Aires,General Paz,General Paz,General Paz,199,0.0002907847535270437
53,Buenos Aires,General Pinto,General Pinto,General Pinto,197,0.00028786229369260106
54,Buenos Aires,General Pueyrredón,General Pueyrredón,General Pueyrredón,11162,0.016310248336024433
55,Buenos Aires,General Rodríguez,General Rodríguez,General Rodríguez,1626,0.0023759598454018748
56,Buenos Aires,General San Martín,General San Martín,General San Martín,6801,0.009937824667022232
57,Buenos Aires,General Viamonte,General Viamonte,General Viamonte,326,0.000476360953014152
58,Buenos Aires,General Villegas,General Villegas,General Villegas,562,0.0008212112134783848
59,Buenos Aires,Guaminí,Guamini,Guaminí,227,0.0003316991912092408
60,Buenos Aires,Hipólito Yrigoyen,Hipólito Yrigoyen,Hipólito Yrigoyen,178,0.0002600989252653959
61,Buenos Aires,Hurlingham,Hurlingham,Hurlingham,2954,0.004316473175471795
62,Buenos Aires,Ituzaingó,Ituzaingo,Ituzaingó,2788,0.0040739090092130545
63,Buenos Aires,José C. Paz,J. C. Paz,José C. Paz,4227,0.006176618860094542
64,Buenos Aires,Junín,Junín,Junín,1558,0.002276596211030825
65,Buenos Aires,La Costa,La Costa,La Costa,1379,0.0020150360558482076
66,Buenos Aires,La Matanza,La Matanza,La Matanza,32398,0.04734092685813649
67,Buenos Aires,La Plata,La Plata,La Plata,12169,0.017781706862666308
68,Buenos Aires,Lanús,Lanús,Lanús,7471,0.01091684871156052
69,Buenos Aires,Laprida,Laprida,Laprida,186,0.0002717887646031665
70,Buenos Aires,Las Flores,Las Flores,Las Flores,417,0.0006093328754812926
71,Buenos Aires,Leandro N. Alem,Leandro N. Alem,Leandro N. Alem,300,0.00043836897516639757
72,Buenos Aires,Lincoln,Lincoln,Lincoln,730,0.0010666978395715673
73,Buenos Aires,Lobería,Loberia,Lobería,308,0.00045005881450416814
74,Buenos Aires,Lobos,Lobos,Lobos,655,0.000957105595779968
75,Buenos Aires,Lomas de Zamora,Lomas De Zamora,Lomas de Zamora,9928,0.014507090618173317
76,Buenos Aires,Luján,Luján,Luján,1863,0.0027222713357833287
77,Buenos Aires,Magdalena,Magdalena,Magdalena,296,0.00043252405549751223
78,Buenos Aires,Maipú,Maipú,Maipú,175,0.0002557152355137319
79,Buenos Aires,Malvinas Argentinas,Malvinas Argentinas,Malvinas Argentinas,5050,0.007379211081967692
80,Buenos Aires,Mar Chiquita,Mar Chiquita,Mar Chiquita,436,0.0006370962439084978
81,Buenos Aires,Marcos Paz,Marcos Paz,Marcos Paz,927,0.0013545601332641685
82,Buenos Aires,Mercedes,Mercedes,Mercedes,1089,0.0015912793798540231
83,Buenos Aires,Merlo,Merlo,Merlo,8622,0.012598724346282265
84,Buenos Aires,Monte,Monte,Monte,383,0.0005596510582957675
85,Buenos Aires,Monte Hermoso,Monte Hermoso,Monte Hermoso,136,0.00019872726874210024
86,Buenos Aires,Moreno,Moreno,Moreno,7619,0.011133110739309277
87,Buenos Aires,Morón,Morón,Morón,5239,0.007655383536322523
88,Buenos Aires,Navarro,Navarro,Navarro,285,0.0004164505264080777
89,Buenos Aires,Necochea,Necochea,Necochea,1623,0.002371576155650211
90,Buenos Aires,Olavarría,Olavarría,Olavarría,1997,0.0029180761446909865
91,Buenos Aires,Patagones,Patagones,Patagones,533,0.0007788355458789663
92,Buenos Aires,Pehuajó,Pehuajó,Pehuajó,719,0.0010506243104821328
93,Buenos Aires,Pellegrini,Pellegrini,Pellegrini,108,0.00015781283105990312
94,Buenos Aires,Pergamino,Pergamino,Pergamino,1831,0.0026755119784322465
95,Buenos Aires,Pila,Pila,Pila,67,9.790240445382878e-05
96,Buenos Aires,Pilar,Pilar,Pilar,5422,0.007922788611174025
97,Buenos Aires,Pinamar,Pinamar,Pinamar,527,0.0007700681663756384
98,Buenos Aires,Presidente Perón,Presidente Perón,Presidente Perón,1458,0.002130473219308692
99,Buenos Aires,Punta Indio,Punta Indio,Punta Indio,184,0.00026886630476872386
100,Buenos Aires,Puán,Puan,Puán,298,0.00043544651533195493
101,Buenos Aires,Quilmes,Quilmes,Quilmes,10266,0.015000986330194125
102,Buenos Aires,Ramallo,Ramallo,Ramallo,573,0.0008372847425678193
103,Buenos Aires,Rauch,Rauch,Rauch,285,0.0004164505264080777
104,Buenos Aires,Rivadavia,Rivadavia,Rivadavia,290,0.0004237566759941843
105,Buenos Aires,Rojas,Rojas,Rojas,415,0.00060641041564685
106,Buenos Aires,Roque Pérez,Roque Pérez,Roque Pérez,246,0.00035946255963644597
107,Buenos Aires,Saavedra,Saavedra,Saavedra,389,0.0005684184377990955
108,Buenos Aires,Saladillo,Saladillo,Saladillo,598,0.0008738154904983524
109,Buenos Aires,Salliqueló,Salliqueló,Salliqueló,161,0.00023525801667263334
110,Buenos Aires,Salto,Salto,Salto,612,0.000894272709339451
111,Buenos Aires,San Andrés de Giles,San Andrés De Giles,San Andrés de Giles,413,0.0006034879558124073
112,Buenos Aires,San Antonio de Areco,San Antonio De Areco,San Antonio de Areco,397,0.000580108277136866
113,Buenos Aires,San Cayetano,San Cayetano,San Cayetano,155,0.00022649063716930542
114,Buenos Aires,San Fernando,San Fernando,San Fernando,2659,0.0038854103498915035
115,Buenos Aires,San Isidro,San Isidro,San Isidro,4797,0.007009519912910697
116,Buenos Aires,San Miguel,San Miguel,San Miguel,4481,0.006547771259068759
117,Buenos Aires,San Nicolás,San Nicolás,San Nicolás,2377,0.00347334351323509
118,Buenos Aires,San Pedro,San Pedro,San Pedro,1001,0.0014626911471385465
119,Buenos Aires,San Vicente,San Vicente,San Vicente,1157,0.0016906430142250733
120,Buenos Aires,Suipacha,Suipacha,Suipacha,186,0.0002717887646031665
121,Buenos Aires,Tandil,Tandil,Tandil,2470,0.0036092378955366734
122,Buenos Aires,Tapalqué,Tapalqué,Tapalqué,176,0.00025717646543095324
123,Buenos Aires,Tigre,Tigre,Tigre,6901,0.010083947658744366
124,Buenos Aires,Tordillo,Tordillo,Tordillo,29,4.237566759941843e-05
125,Buenos Aires,Tornquist,Tornquist,Tornquist,252,0.00036822993913977395
126,Buenos Aires,Trenque Lauquen,Trenque Lauquen,Trenque Lauquen,793,0.0011587553243565109
127,Buenos Aires,Tres Arroyos,Tres Arroyos,Tres Arroyos,1012,0.0014787646762279812
128,Buenos Aires,Tres Lomas,Tres Lomas,Tres Lomas,154,0.00022502940725208407
